,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Results
0,619,0,0,42,2,0.0,1,1,1,101348.88,0
1,608,2,0,41,1,83807.86,1,0,1,112542.58,0
2,502,0,0,42,8,159660.8,3,1,0,113931.57,1
3,699,0,0,39,1,0.0,2,0,0,93826.63,0
4,850,2,0,43,2,125510.82,1,1,1,79084.1,0
5,582,1,1,41,6,70349.48,2,0,1,178074.04,0
6,472,2,1,40,4,0.0,1,1,0,70154.22,0
7,465,0,0,51,8,122522.32,1,0,0,181297.65,1
8,556,0,0,61,2,117419.35,1,1,1,94153.83,1
9,834,0,0,49,2,131394.56,1,0,0,194365.76,1
10,660,2,0,61,5,155931.11,1,1,1,158338.39,0
11,776,1,0,32,4,109421.13,2,1,1,126517.46,0
12,829,1,0,27,9,112045.67,1,1,1,119708.21,0
13,637,1,0,39,9,137843.8,1,1,1,117622.8,0
